Date,Steps
2018-07-06,7952
2018-07-07,1935
2018-07-08,790
2018-07-09,9828
2018-07-10,4947
2018-07-11,6684
2018-07-12,7695
2018-07-13,10979
2018-07-14,2318
2018-07-15,1647
2018-07-16,2167
2018-07-17,2503
2018-07-18,971
2018-07-19,838
2018-07-20,9104
2018-07-21,0
2018-07-22,1963
2018-07-23,4762
2018-07-24,4482
2018-07-25,4532
2018-07-26,4409
2018-07-27,5424
2018-07-28,3561
2018-07-29,1340
2018-07-30,9777
2018-07-31,12500
2018-08-01,10803
2018-08-02,6087
2018-08-03,11455
2018-08-04,2891
2018-08-05,375
2018-08-06,8755
2018-08-07,5460
2018-08-08,8867
2018-08-09,6459
2018-08-10,11505
2018-08-11,8047
2018-08-12,1818
2018-08-13,4331
2018-08-14,4730
2018-08-15,6726
2018-08-16,7176
2018-08-17,11950
2018-08-18,3846
2018-08-19,490
2018-08-20,2330
2018-08-21,3811
2018-08-22,9614
2018-08-23,7834
2018-08-24,10399
2018-08-25,4490
2018-08-26,10318
2018-08-27,2305
2018-08-28,14618
2018-08-29,14674
2018-08-30,10095
2018-08-31,6148
2018-09-01,1150
2018-09-02,5880
2018-09-03,8526
2018-09-04,9026
2018-09-05,8013
2018-09-06,9885
2018-09-07,9980
2018-09-08,6326
2018-09-09,1026
2018-09-10,13675
2018-09-11,18816
2018-09-12,8608
2018-09-13,16736
2018-09-14,9526
2018-09-15,563
2018-09-16,5128
2018-09-17,12952
2018-09-18,12868
2018-09-19,10956
2018-09-20,10423
2018-09-21,4329
2018-09-22,3412
2018-09-23,4295
2018-09-24,14243
2018-09-25,12358
2018-09-26,9224
2018-09-27,8408
2018-09-28,2307
2018-09-29,4617
2018-09-30,1977
2018-10-01,8850
2018-10-02,12120
2018-10-03,9319
2018-10-04,4227
2018-10-05,4753
2018-10-06,4184
2018-10-07,642
2018-10-08,4271
2018-10-09,9298
2018-10-10,9742
2018-10-11,7410
2018-10-12,14366
2018-10-13,5962
2018-10-14,7078
2018-10-15,13174
2018-10-16,9448
2018-10-17,8212
2018-10-18,10804
2018-10-19,8858
2018-10-20,5607
2018-10-21,238
2018-10-22,11730
2018-10-23,10464
2018-10-24,6066
2018-10-25,4167
2018-10-26,5989
2018-10-27,2747
2018-10-28,2432
2018-10-29,13289
2018-10-30,9540
2018-10-31,11455
